ICAO Empresa Aerea;Numero Voo;Codigo DI;Codigo Tipo Linha;ICAO Aerodromo Origem;ICAO Aerodromo Destino;Partida Prevista;Partida Real;Chegada Prevista;Chegada Real;Situacao Voo
SID;9305;7;C;SBBR;SBEG;10/07/2020 06:30;10/07/2020 06:23;10/07/2020 09:25;10/07/2020 09:25;REALIZADO
TAM;3024;0;N;SBRJ;SBBR;10/07/2020 06:30;10/07/2020 06:26;10/07/2020 08:15;10/07/2020 08:19;REALIZADO
GLO;1106;0;N;SBSP;SBBR;10/07/2020 06:35;10/07/2020 06:40;10/07/2020 08:25;10/07/2020 08:21;REALIZADO
AZU;4522;0;N;SBGR;SBCF;10/07/2020 06:40;10/07/2020 06:39;10/07/2020 08:00;10/07/2020 08:09;REALIZADO
OWT;5621;0;C;SBVC;SBCF;10/07/2020 06:40;;10/07/2020 08:55;;CANCELADO
AZU;4413;0;N;SBVT;SBCF;10/07/2020 06:45;10/07/2020 06:40;10/07/2020 08:15;10/07/2020 08:05;REALIZADO
AZU;4428;0;N;SBSV;SBRF;10/07/2020 06:45;10/07/2020 06:37;10/07/2020 08:05;10/07/2020 07:54;REALIZADO
GLO;1213;0;N;SBCT;SBGR;10/07/2020 06:45;10/07/2020 06:34;10/07/2020 08:00;10/07/2020 07:43;REALIZADO
GLO;1706;0;N;SBSP;SBRF;10/07/2020 06:45;10/07/2020 06:43;10/07/2020 09:45;10/07/2020 09:49;REALIZADO
TAM;3142;0;N;SBGR;SBGO;10/07/2020 06:45;10/07/2020 06:40;10/07/2020 08:20;10/07/2020 08:19;REALIZADO
TAM;3234;0;N;SBGR;SBBR;10/07/2020 06:45;10/07/2020 06:40;10/07/2020 08:20;10/07/2020 08:28;REALIZADO
TAM;4668;0;N;SBGR;SBPA;10/07/2020 06:45;10/07/2020 06:39;10/07/2020 08:20;10/07/2020 08:27;REALIZADO
AZU;4417;0;N;SBRJ;SBCF;10/07/2020 06:50;10/07/2020 06:47;10/07/2020 08:05;10/07/2020 08:02;REALIZADO
CLX;7615;0;X;SBKP;SBGL;10/07/2020 06:50;10/07/2020 06:43;10/07/2020 08:00;10/07/2020 07:38;REALIZADO
UAE;9914;0;G;SBKP;SEQM;10/07/2020 06:50;;10/07/2020 12:40;;CANCELADO
AZU;4377;0;N;SBUL;SBCF;10/07/2020 07:00;10/07/2020 06:53;10/07/2020 08:25;10/07/2020 08:12;REALIZADO
AZU;9978;0;C;SBKP;SBNF;10/07/2020 07:00;10/07/2020 07:08;10/07/2020 08:25;10/07/2020 08:28;REALIZADO
GLO;1831;0;N;SBCF;SBBR;10/07/2020 07:00;10/07/2020 06:53;10/07/2020 08:20;10/07/2020 08:10;REALIZADO
GLO;2250;0;N;SBRJ;SBPA;10/07/2020 07:00;10/07/2020 06:49;10/07/2020 08:50;10/07/2020 08:55;REALIZADO
GLO;2900;0;N;SBSP;SBRJ;10/07/2020 07:00;10/07/2020 06:48;10/07/2020 08:05;10/07/2020 07:39;REALIZADO
LAN;751;0;X;SBGR;SCEL;10/07/2020 07:00;10/07/2020 06:54;10/07/2020 11:10;10/07/2020 11:30;REALIZADO
TAM;3228;0;N;SBGR;SBFL;10/07/2020 07:00;10/07/2020 06:54;10/07/2020 08:15;10/07/2020 08:07;REALIZADO
TAM;4684;0;N;SBGR;SBVT;10/07/2020 07:00;10/07/2020 06:55;10/07/2020 08:25;10/07/2020 08:27;REALIZADO
OWT;5550;0;N;SNMA;SDWQ;10/07/2020 07:05;10/07/2020 07:02;10/07/2020 07:30;10/07/2020 07:30;REALIZADO
TAP;3110;0;X;SBGR;LPPT;10/07/2020 07:05;10/07/2020 07:10;10/07/2020 17:00;10/07/2020 17:15;REALIZADO
MPH;7342;0;X;SBKP;SCEL;10/07/2020 07:10;10/07/2020 08:53;10/07/2020 11:05;10/07/2020 12:45;REALIZADO
AZU;4051;0;N;SBSP;SBCF;10/07/2020 07:15;10/07/2020 07:06;10/07/2020 08:30;10/07/2020 08:16;REALIZADO
TAM;3904;0;N;SBSP;SBRJ;10/07/2020 07:15;10/07/2020 07:04;10/07/2020 08:15;10/07/2020 07:56;REALIZADO
TAM;3504;0;N;SBGR;SBLO;10/07/2020 07:20;10/07/2020 07:11;10/07/2020 08:30;10/07/2020 08:31;REALIZADO
TAM;4550;0;N;SBGR;SBCF;10/07/2020 07:20;10/07/2020 07:58;10/07/2020 08:35;10/07/2020 08:58;REALIZADO
LTG;6550;0;C;SBGR;SBEG;10/07/2020 07:25;10/07/2020 07:22;10/07/2020 11:15;10/07/2020 11:15;REALIZADO
AZU;9903;0;C;SBKP;SBEG;10/07/2020 07:30;10/07/2020 07:30;10/07/2020 11:30;10/07/2020 11:25;REALIZADO
TAM;3017;0;N;SBGR;SBCT;10/07/2020 07:35;10/07/2020 07:32;10/07/2020 08:40;10/07/2020 08:32;REALIZADO
TAM;3807;0;N;SBGR;SBRJ;10/07/2020 07:35;10/07/2020 07:31;10/07/2020 08:30;10/07/2020 08:20;REALIZADO
OWT;5550;0;N;SDWQ;SNTI;10/07/2020 07:45;10/07/2020 07:37;10/07/2020 08:15;10/07/2020 08:05;REALIZADO
TAM;3344;0;N;SBGR;SBNF;10/07/2020 07:55;10/07/2020 07:50;10/07/2020 09:05;10/07/2020 08:53;REALIZADO
AZU;4515;0;N;SBGR;SBPA;10/07/2020 08:00;10/07/2020 07:49;10/07/2020 09:50;10/07/2020 09:26;REALIZADO
GLO;2211;0;N;SBFL;SBGL;10/07/2020 08:00;10/07/2020 07:40;10/07/2020 09:30;10/07/2020 09:09;REALIZADO
OWT;5581;0;N;SBBE;SNVS;10/07/2020 08:00;10/07/2020 08:10;10/07/2020 09:00;10/07/2020 09:05;REALIZADO
OWT;5596;0;N;SBCY;SWTS;10/07/2020 08:00;10/07/2020 08:00;10/07/2020 08:40;10/07/2020 08:45;REALIZADO
PAM;5936;0;N;SBEG;SWLB;10/07/2020 08:00;;10/07/2020 09:50;;CANCELADO
TAM;3509;0;N;SBGR;SBBE;10/07/2020 08:00;10/07/2020 07:58;10/07/2020 11:50;10/07/2020 11:34;REALIZADO
TVR;945;9;X;UBBB;DGAA;10/07/2020 08:00;10/07/2020 08:00;10/07/2020 16:30;10/07/2020 16:30;REALIZADO
GLO;2223;0;N;SBNF;SBGL;10/07/2020 08:05;10/07/2020 07:53;10/07/2020 09:30;10/07/2020 09:12;REALIZADO
AZU;4300;0;N;SBKP;SBPA;10/07/2020 08:10;10/07/2020 08:15;10/07/2020 09:50;10/07/2020 09:47;REALIZADO
CLX;7645;0;G;ELLX;SBKP;10/07/2020 08:10;;10/07/2020 19:50;;CANCELADO
AZU;4374;0;N;SBKP;SBBE;10/07/2020 08:15;10/07/2020 09:11;10/07/2020 11:40;10/07/2020 12:29;REALIZADO
AZU;4380;0;N;SBKP;SBEG;10/07/2020 08:15;10/07/2020 08:18;10/07/2020 12:00;10/07/2020 12:05;REALIZADO
AZU;4328;0;N;SBKP;SBRF;10/07/2020 08:20;10/07/2020 08:53;10/07/2020 11:15;10/07/2020 11:56;REALIZADO
GLO;1102;0;N;SBGR;SBGO;10/07/2020 08:20;10/07/2020 08:16;10/07/2020 09:55;10/07/2020 09:49;REALIZADO
AZU;4200;0;N;SBSP;SBRF;10/07/2020 08:25;10/07/2020 08:22;10/07/2020 11:25;10/07/2020 11:20;REALIZADO
GLO;1912;0;N;SBRF;SBFZ;10/07/2020 08:25;10/07/2020 08:14;10/07/2020 09:45;10/07/2020 09:29;REALIZADO
OWT;5540;0;N;SBPV;SWLB;10/07/2020 08:25;10/07/2020 08:25;10/07/2020 09:10;10/07/2020 09:15;REALIZADO
AZU;4000;0;N;SBSP;SBRJ;10/07/2020 08:30;10/07/2020 08:30;10/07/2020 09:30;10/07/2020 09:23;REALIZADO
AZU;4394;0;N;SBKP;SBBR;10/07/2020 08:30;10/07/2020 08:31;10/07/2020 10:10;10/07/2020 10:01;REALIZADO
AZU;4406;0;N;SBKP;SBFI;10/07/2020 08:30;10/07/2020 09:18;10/07/2020 10:10;10/07/2020 10:50;REALIZADO
OWT;5550;0;N;SNTI;SNOX;10/07/2020 08:30;10/07/2020 08:17;10/07/2020 08:50;10/07/2020 08:40;REALIZADO
OWT;5580;0;N;SBBE;SBMD;10/07/2020 08:30;10/07/2020 08:30;10/07/2020 10:20;10/07/2020 10:10;REALIZADO
AZU;4518;0;N;SBGR;SBRF;10/07/2020 08:35;10/07/2020 08:35;10/07/2020 11:45;10/07/2020 11:30;REALIZADO
AZU;4542;0;N;SBRJ;SBRF;10/07/2020 08:35;10/07/2020 08:44;10/07/2020 11:20;10/07/2020 11:28;REALIZADO
GLO;1118;0;N;SBGR;SBBR;10/07/2020 08:35;10/07/2020 08:31;10/07/2020 10:15;10/07/2020 10:05;REALIZADO
GLO;1204;0;N;SBGR;SBFI;10/07/2020 08:35;10/07/2020 09:33;10/07/2020 10:20;10/07/2020 11:12;REALIZADO
GLO;1306;0;N;SBGR;SBPA;10/07/2020 08:35;10/07/2020 08:42;10/07/2020 10:15;10/07/2020 10:24;REALIZADO
GLO;1342;0;N;SBGR;SBPF;10/07/2020 08:35;10/07/2020 08:32;10/07/2020 10:10;10/07/2020 10:10;REALIZADO
AZU;4316;0;N;SBKP;SBCF;10/07/2020 08:40;10/07/2020 09:05;10/07/2020 09:55;10/07/2020 10:05;REALIZADO
GLO;1346;0;N;SBGR;SBCH;10/07/2020 08:40;10/07/2020 08:42;10/07/2020 10:15;10/07/2020 10:15;REALIZADO
GLO;1702;0;N;SBGR;SBBE;10/07/2020 08:40;10/07/2020 08:55;10/07/2020 12:10;10/07/2020 12:32;REALIZADO
GLO;1736;0;N;SBGR;SBSG;10/07/2020 08:40;10/07/2020 08:42;10/07/2020 12:00;10/07/2020 12:02;REALIZADO
AZU;4324;0;N;SBKP;SBGO;10/07/2020 08:45;10/07/2020 08:58;10/07/2020 10:20;10/07/2020 10:25;REALIZADO
AZU;4350;0;N;SBKP;SBRJ;10/07/2020 08:45;10/07/2020 08:44;10/07/2020 09:50;10/07/2020 09:41;REALIZADO
GLO;1062;0;N;SBGR;SBGL;10/07/2020 08:45;10/07/2020 08:44;10/07/2020 09:50;10/07/2020 09:35;REALIZADO
GLO;1740;0;N;SBGR;SBJP;10/07/2020 08:45;10/07/2020 08:45;10/07/2020 12:00;10/07/2020 11:58;REALIZADO
GLO;2901;0;N;SBRJ;SBSP;10/07/2020 08:45;10/07/2020 09:46;10/07/2020 09:50;10/07/2020 10:45;REALIZADO
TAM;3333;0;N;SBGR;SBFZ;10/07/2020 08:45;10/07/2020 08:39;10/07/2020 12:05;10/07/2020 12:00;REALIZADO
AZU;4432;0;N;SBRF;SBBE;10/07/2020 08:50;10/07/2020 08:42;10/07/2020 11:30;10/07/2020 10:58;REALIZADO
GLO;1790;0;N;SBGR;SBRF;10/07/2020 08:50;10/07/2020 08:48;10/07/2020 11:50;10/07/2020 11:49;REALIZADO
AZU;4431;0;N;SBBR;SBRF;10/07/2020 08:55;10/07/2020 08:46;10/07/2020 11:20;10/07/2020 11:10;REALIZADO
GLO;1320;0;N;SBGR;SBFL;10/07/2020 08:55;10/07/2020 09:02;10/07/2020 10:10;10/07/2020 10:15;REALIZADO
GLO;1708;0;N;SBGR;SBMO;10/07/2020 08:55;10/07/2020 08:53;10/07/2020 11:40;10/07/2020 11:39;REALIZADO
TAM;3394;0;N;SBGR;SBRF;10/07/2020 08:55;10/07/2020 08:52;10/07/2020 12:00;10/07/2020 11:59;REALIZADO
CLX;7615;0;X;SBGL;ELLX;10/07/2020 09:00;10/07/2020 13:46;10/07/2020 20:15;11/07/2020 01:03;REALIZADO
GLO;1220;0;N;SBGR;SBMG;10/07/2020 09:00;10/07/2020 09:00;10/07/2020 10:15;10/07/2020 10:20;REALIZADO
GLO;1350;0;N;SBGR;SBNF;10/07/2020 09:00;10/07/2020 08:58;10/07/2020 10:00;10/07/2020 10:04;REALIZADO
GLO;1874;0;N;SBBR;SBSG;10/07/2020 09:00;10/07/2020 08:46;10/07/2020 11:40;10/07/2020 11:19;REALIZADO
OWT;5596;0;N;SWTS;SWJN;10/07/2020 09:00;10/07/2020 09:00;10/07/2020 10:25;10/07/2020 10:35;REALIZADO
TAM;3511;0;N;SBFL;SBGR;10/07/2020 09:00;10/07/2020 08:59;10/07/2020 10:15;10/07/2020 10:05;REALIZADO
TAM;3909;0;N;SBRJ;SBSP;10/07/2020 09:00;10/07/2020 08:51;10/07/2020 10:05;10/07/2020 09:52;REALIZADO
TAM;4511;0;N;SBGR;SBSV;10/07/2020 09:00;10/07/2020 08:54;10/07/2020 11:20;10/07/2020 11:12;REALIZADO
AZU;4502;0;N;SBCF;SBRF;10/07/2020 09:05;10/07/2020 09:00;10/07/2020 11:35;10/07/2020 11:24;REALIZADO
AZU;4536;0;N;SBGR;SBCY;10/07/2020 09:05;10/07/2020 09:07;10/07/2020 11:25;10/07/2020 11:25;REALIZADO
GLO;1744;0;N;SBGR;SBJU;10/07/2020 09:05;10/07/2020 09:03;10/07/2020 12:00;10/07/2020 11:56;REALIZADO
GLO;1872;0;N;SBBR;SBJP;10/07/2020 09:05;10/07/2020 09:02;10/07/2020 11:40;10/07/2020 11:31;REALIZADO
GLO;1880;0;N;SBBR;SBFZ;10/07/2020 09:05;10/07/2020 09:04;10/07/2020 11:40;10/07/2020 11:47;REALIZADO
TAM;3457;0;N;SBBR;SBRJ;10/07/2020 09:05;10/07/2020 09:04;10/07/2020 10:50;10/07/2020 10:43;REALIZADO
TAM;3663;0;N;SBGO;SBGR;10/07/2020 09:05;10/07/2020 09:03;10/07/2020 10:35;10/07/2020 10:30;REALIZADO
TAM;4596;0;N;SBPA;SBGR;10/07/2020 09:05;10/07/2020 09:22;10/07/2020 10:40;10/07/2020 10:56;REALIZADO
AZU;4308;0;N;SBKP;SBCT;10/07/2020 09:10;10/07/2020 09:20;10/07/2020 10:10;10/07/2020 10:22;REALIZADO
AZU;4362;0;N;SBKP;SBNF;10/07/2020 09:10;10/07/2020 09:11;10/07/2020 10:20;10/07/2020 10:19;REALIZADO
GLO;1107;0;N;SBBR;SBSP;10/07/2020 09:10;10/07/2020 09:24;10/07/2020 10:55;10/07/2020 10:52;REALIZADO
GLO;1738;0;N;SBGR;SBPL;10/07/2020 09:10;10/07/2020 09:11;10/07/2020 11:50;10/07/2020 11:40;REALIZADO
GLO;1876;0;N;SBBR;SBRF;10/07/2020 09:10;10/07/2020 09:26;10/07/2020 11:45;10/07/2020 12:02;REALIZADO
OWT;5550;0;N;SNOX;SBTB;10/07/2020 09:10;10/07/2020 08:57;10/07/2020 09:35;10/07/2020 09:19;REALIZADO
TAM;3112;0;N;SBVT;SBGR;10/07/2020 09:10;10/07/2020 09:07;10/07/2020 10:40;10/07/2020 10:33;REALIZADO
AZU;4329;0;N;SBRF;SBKP;10/07/2020 09:15;10/07/2020 09:07;10/07/2020 12:30;10/07/2020 12:04;REALIZADO
AZU;4418;0;N;SBCF;SBCY;10/07/2020 09:15;10/07/2020 09:06;10/07/2020 11:30;10/07/2020 11:21;REALIZADO
GLO;1212;0;N;SBGR;SBCT;10/07/2020 09:15;10/07/2020 09:16;10/07/2020 10:20;10/07/2020 10:15;REALIZADO
GLO;1424;0;N;SBGR;SBVT;10/07/2020 09:15;10/07/2020 09:10;10/07/2020 10:40;10/07/2020 10:39;REALIZADO
GLO;1442;0;N;SBGR;SBCF;10/07/2020 09:15;10/07/2020 09:17;10/07/2020 10:25;10/07/2020 10:19;REALIZADO
GLO;1780;0;N;SBGR;SBFZ;10/07/2020 09:15;10/07/2020 09:38;10/07/2020 12:35;10/07/2020 12:58;REALIZADO
TAM;3031;0;N;SBRJ;SBGR;10/07/2020 09:15;10/07/2020 09:15;10/07/2020 10:20;10/07/2020 10:16;REALIZADO
TAM;3145;0;N;SBBR;SBGR;10/07/2020 09:15;10/07/2020 09:14;10/07/2020 10:50;10/07/2020 10:44;REALIZADO
TAM;3615;0;N;SBLO;SBGR;10/07/2020 09:15;10/07/2020 09:10;10/07/2020 10:35;10/07/2020 10:09;REALIZADO
AZU;4050;0;N;SBCF;SBSP;10/07/2020 09:20;10/07/2020 09:11;10/07/2020 10:40;10/07/2020 10:20;REALIZADO
AZU;4530;0;N;SBKP;SBAE;10/07/2020 09:20;10/07/2020 09:21;10/07/2020 10:25;10/07/2020 10:19;REALIZADO
GLO;1884;0;N;SBBR;SBSV;10/07/2020 09:20;10/07/2020 09:14;10/07/2020 11:15;10/07/2020 11:08;REALIZADO
GLO;1896;0;N;SBBR;SBBE;10/07/2020 09:20;10/07/2020 09:30;10/07/2020 11:50;10/07/2020 12:10;REALIZADO
OWT;5050;0;N;SBKP;SBML;10/07/2020 09:20;10/07/2020 09:15;10/07/2020 10:40;10/07/2020 10:46;REALIZADO
TAM;3334;0;N;SBCF;SBGR;10/07/2020 09:20;10/07/2020 09:39;10/07/2020 10:30;10/07/2020 10:52;REALIZADO
TAM;3419;0;N;SBSL;SBBR;10/07/2020 09:20;10/07/2020 09:09;10/07/2020 11:45;10/07/2020 11:28;REALIZADO
AZU;4336;0;N;SBKP;SBCY;10/07/2020 09:25;10/07/2020 09:25;10/07/2020 11:25;10/07/2020 11:31;REALIZADO
GLO;1870;0;N;SBBR;SBSL;10/07/2020 09:25;10/07/2020 09:18;10/07/2020 11:50;10/07/2020 11:41;REALIZADO
LTG;8495;0;G;SBGR;SBKP;10/07/2020 09:25;10/07/2020 09:21;10/07/2020 10:10;10/07/2020 10:03;REALIZADO
BOV;736;2;X;SLVR;SBGR;10/07/2020 09:30;10/07/2020 09:30;10/07/2020 12:10;10/07/2020 13:20;REALIZADO
GLO;1716;0;N;SBGR;SBSV;10/07/2020 09:30;10/07/2020 09:23;10/07/2020 11:55;10/07/2020 11:30;REALIZADO
GLO;1752;0;N;SBGR;SBVC;10/07/2020 09:30;10/07/2020 09:34;10/07/2020 11:30;10/07/2020 11:21;REALIZADO
GLO;1802;0;N;SBBR;SBRJ;10/07/2020 09:30;10/07/2020 09:12;10/07/2020 11:15;10/07/2020 10:51;REALIZADO
GLO;1890;0;N;SBBR;SBPJ;10/07/2020 09:30;10/07/2020 09:22;10/07/2020 10:45;10/07/2020 10:42;REALIZADO
GLO;1892;0;N;SBBR;SBEG;10/07/2020 09:30;10/07/2020 09:30;10/07/2020 12:25;10/07/2020 12:28;REALIZADO
GLO;2232;0;N;SBGL;SBCT;10/07/2020 09:30;10/07/2020 09:27;10/07/2020 11:00;10/07/2020 11:02;REALIZADO
GLO;2253;0;N;SBPA;SBRJ;10/07/2020 09:30;10/07/2020 09:38;10/07/2020 11:20;10/07/2020 11:26;REALIZADO
GLO;2270;0;N;SBGL;SBKP;10/07/2020 09:30;;10/07/2020 10:40;;CANCELADO
OWT;5420;0;C;SBVT;SBSV;10/07/2020 09:30;10/07/2020 09:25;10/07/2020 12:50;10/07/2020 12:34;REALIZADO
OWT;5581;0;N;SNVS;SNMZ;10/07/2020 09:30;10/07/2020 09:23;10/07/2020 10:25;10/07/2020 10:25;REALIZADO
GLO;1354;0;N;SBGR;SBJV;10/07/2020 09:35;10/07/2020 09:26;10/07/2020 10:35;10/07/2020 10:30;REALIZADO
TAM;3515;0;N;SBCT;SBGR;10/07/2020 09:35;10/07/2020 09:31;10/07/2020 10:40;10/07/2020 10:31;REALIZADO
GLO;1894;0;N;SBBR;SBPV;10/07/2020 09:40;10/07/2020 09:35;10/07/2020 13:05;10/07/2020 12:41;REALIZADO
OWT;5540;0;N;SWLB;SWKO;10/07/2020 09:40;10/07/2020 09:30;10/07/2020 11:20;10/07/2020 11:10;REALIZADO
AZU;4366;0;N;SBKP;SBFL;10/07/2020 09:45;10/07/2020 09:44;10/07/2020 10:55;10/07/2020 10:50;REALIZADO
TAM;4573;0;N;SBNF;SBGR;10/07/2020 09:50;10/07/2020 09:46;10/07/2020 10:55;10/07/2020 10:45;REALIZADO
OWT;5550;0;N;SBTB;SNRJ;10/07/2020 09:55;10/07/2020 09:45;10/07/2020 10:25;10/07/2020 10:15;REALIZADO
TAM;3253;0;N;SBJP;SBBR;10/07/2020 09:55;10/07/2020 09:48;10/07/2020 12:40;10/07/2020 12:29;REALIZADO
AZU;5245;0;N;SBEG;SBTF;10/07/2020 10:00;10/07/2020 09:54;10/07/2020 11:10;10/07/2020 10:59;REALIZADO
MWM;9715;2;C;SBGL;SBRF;10/07/2020 10:00;10/07/2020 09:45;10/07/2020 13:00;10/07/2020 12:38;REALIZADO
GLO;1878;0;N;SBBR;SBMO;10/07/2020 10:10;10/07/2020 09:55;10/07/2020 12:30;10/07/2020 12:15;REALIZADO
KAL;274;0;X;SPJC;KLAX;10/07/2020 10:10;10/07/2020 11:12;10/07/2020 18:50;10/07/2020 19:36;REALIZADO
PAM;5937;0;N;SWLB;SBEG;10/07/2020 10:20;;10/07/2020 12:10;;CANCELADO
QTR;8148;0;G;MPTO;KDFW;10/07/2020 10:20;;10/07/2020 15:15;;CANCELADO
AZU;9979;0;C;SBNF;SBGL;10/07/2020 10:25;10/07/2020 10:16;10/07/2020 12:30;10/07/2020 12:02;REALIZADO
GLO;1706;0;N;SBRF;SBFZ;10/07/2020 10:25;10/07/2020 10:30;10/07/2020 11:45;10/07/2020 11:49;REALIZADO
GLO;1912;0;N;SBFZ;SBBE;10/07/2020 10:25;10/07/2020 10:14;10/07/2020 12:20;10/07/2020 12:04;REALIZADO
PTB;2316;0;N;SBGR;SBRP;10/07/2020 10:25;;10/07/2020 11:45;;CANCELADO
AZU;9960;0;C;SBKP;SBNF;10/07/2020 10:30;10/07/2020 10:19;10/07/2020 11:55;10/07/2020 11:39;REALIZADO
GLO;2212;0;N;SBGL;SBFZ;10/07/2020 10:30;10/07/2020 10:22;10/07/2020 13:45;10/07/2020 13:39;REALIZADO
GLO;2226;0;N;SBGL;SBVT;10/07/2020 10:30;10/07/2020 10:22;10/07/2020 11:30;10/07/2020 11:30;REALIZADO
GLO;2260;0;N;SBGL;SBCF;10/07/2020 10:30;10/07/2020 10:19;10/07/2020 11:35;10/07/2020 11:28;REALIZADO
AZU;4420;0;N;SBCF;SBMK;10/07/2020 10:35;10/07/2020 10:34;10/07/2020 11:50;10/07/2020 11:40;REALIZADO
GLO;1103;0;N;SBGO;SBGR;10/07/2020 10:35;10/07/2020 10:33;10/07/2020 12:10;10/07/2020 11:56;REALIZADO
GLO;2220;0;N;SBGL;SBSG;10/07/2020 10:35;10/07/2020 10:29;10/07/2020 13:35;10/07/2020 13:32;REALIZADO
AZU;4414;0;N;SBCF;SBRJ;10/07/2020 10:40;10/07/2020 10:39;10/07/2020 12:00;10/07/2020 11:57;REALIZADO
GLO;2216;0;N;SBGL;SBJP;10/07/2020 10:40;10/07/2020 10:37;10/07/2020 13:40;10/07/2020 13:34;REALIZADO
AZU;4317;0;N;SBCF;SBKP;10/07/2020 10:45;10/07/2020 10:59;10/07/2020 12:00;10/07/2020 12:12;REALIZADO
GLO;2224;0;N;SBGL;SBRF;10/07/2020 10:45;10/07/2020 10:41;10/07/2020 13:30;10/07/2020 13:28;REALIZADO
OWT;5550;0;N;SNRJ;SBIH;10/07/2020 10:45;10/07/2020 10:35;10/07/2020 11:45;10/07/2020 11:32;REALIZADO
AZU;4351;0;N;SBRJ;SBKP;10/07/2020 10:50;10/07/2020 10:50;10/07/2020 12:00;10/07/2020 11:52;REALIZADO
AZU;4458;0;N;SBCF;SBSL;10/07/2020 10:50;10/07/2020 10:57;10/07/2020 13:35;10/07/2020 13:42;REALIZADO
GLO;1879;0;N;SBGL;SBAR;10/07/2020 10:50;10/07/2020 10:38;10/07/2020 13:10;10/07/2020 12:55;REALIZADO
OWT;5580;0;N;SBMD;SNYA;10/07/2020 10:50;10/07/2020 10:42;10/07/2020 11:05;10/07/2020 11:05;REALIZADO
GLO;1221;0;N;SBMG;SBGR;10/07/2020 10:55;10/07/2020 10:55;10/07/2020 12:20;10/07/2020 12:04;REALIZADO
GLO;1307;0;N;SBPA;SBGR;10/07/2020 10:55;10/07/2020 10:52;10/07/2020 12:35;10/07/2020 12:24;REALIZADO
GLO;1347;0;N;SBCH;SBGR;10/07/2020 10:55;10/07/2020 10:56;10/07/2020 12:30;10/07/2020 12:21;REALIZADO
GLO;2204;0;N;SBGL;SBSV;10/07/2020 10:55;10/07/2020 10:56;10/07/2020 12:55;10/07/2020 12:50;REALIZADO
OWT;5581;0;N;SNMZ;SBBE;10/07/2020 10:55;10/07/2020 10:40;10/07/2020 12:50;10/07/2020 12:42;REALIZADO
AJB;402;9;X;SBGR;SABE;10/07/2020 11:00;10/07/2020 11:00;10/07/2020 13:30;10/07/2020 14:30;REALIZADO
AZU;4303;0;N;SBPA;SBKP;10/07/2020 11:00;10/07/2020 10:57;10/07/2020 12:35;10/07/2020 12:31;REALIZADO
AZU;4395;0;N;SBBR;SBKP;10/07/2020 11:00;10/07/2020 11:02;10/07/2020 12:40;10/07/2020 12:34;REALIZADO
AZU;4407;0;N;SBFI;SBKP;10/07/2020 11:00;10/07/2020 11:34;10/07/2020 12:25;10/07/2020 12:55;REALIZADO
GLO;1321;0;N;SBFL;SBGR;10/07/2020 11:00;10/07/2020 11:05;10/07/2020 12:15;10/07/2020 12:09;REALIZADO
GLO;1343;0;N;SBPF;SBGR;10/07/2020 11:00;10/07/2020 10:53;10/07/2020 12:40;10/07/2020 12:16;REALIZADO
OWT;5051;0;N;SBML;SBKP;10/07/2020 11:00;10/07/2020 10:59;10/07/2020 12:20;10/07/2020 12:20;REALIZADO
TAM;3918;0;N;SBSP;SBRJ;10/07/2020 11:00;10/07/2020 10:52;10/07/2020 12:05;10/07/2020 11:44;REALIZADO
AZU;4309;0;N;SBCT;SBKP;10/07/2020 11:05;10/07/2020 11:14;10/07/2020 12:10;10/07/2020 12:09;REALIZADO
AZU;4531;0;N;SBAE;SBKP;10/07/2020 11:05;10/07/2020 10:58;10/07/2020 12:05;10/07/2020 11:46;REALIZADO
GLO;1205;0;N;SBFI;SBGR;10/07/2020 11:05;10/07/2020 11:49;10/07/2020 12:40;10/07/2020 13:18;REALIZADO
GLO;1351;0;N;SBNF;SBGR;10/07/2020 11:05;10/07/2020 11:00;10/07/2020 12:10;10/07/2020 12:03;REALIZADO
GLO;1443;0;N;SBCF;SBGR;10/07/2020 11:05;10/07/2020 11:26;10/07/2020 12:25;10/07/2020 12:33;REALIZADO
AZU;4325;0;N;SBGO;SBKP;10/07/2020 11:10;10/07/2020 11:12;10/07/2020 12:45;10/07/2020 12:33;REALIZADO
GLO;1215;0;N;SBCT;SBGR;10/07/2020 11:10;10/07/2020 11:10;10/07/2020 12:20;10/07/2020 12:07;REALIZADO
AZU;4363;0;N;SBNF;SBKP;10/07/2020 11:20;10/07/2020 11:14;10/07/2020 12:25;10/07/2020 12:20;REALIZADO
GLO;1902;0;N;SBKP;SBSV;10/07/2020 11:20;10/07/2020 11:12;10/07/2020 13:50;10/07/2020 13:31;REALIZADO
LTG;8441;0;G;KMIA;SBKP;10/07/2020 11:20;10/07/2020 11:28;10/07/2020 19:30;10/07/2020 19:39;REALIZADO
GLO;1065;0;N;SBGL;SBGR;10/07/2020 11:25;10/07/2020 11:19;10/07/2020 12:40;10/07/2020 12:20;REALIZADO
GLO;1073;0;N;SBRJ;SBGR;10/07/2020 11:25;10/07/2020 11:26;10/07/2020 12:30;10/07/2020 12:31;REALIZADO
GLO;1355;0;N;SBJV;SBGR;10/07/2020 11:25;10/07/2020 11:15;10/07/2020 12:25;10/07/2020 12:13;REALIZADO
GLO;1712;0;N;SBSP;SBSV;10/07/2020 11:30;10/07/2020 11:21;10/07/2020 14:00;10/07/2020 13:38;REALIZADO
